condition | triage_level | common_symptoms | home_care | primary_care_follow_up | urgent_or_emergency_flags
Mild fever (adult, <3 days) | self-care | temperature 37.8-38.9C, mild body aches, fatigue | rest, fluids, acetaminophen as directed | schedule clinic if fever lasts >72 hours | emergency if confusion, stiff neck, breathing trouble, or fever >=40C
Mild fever (child >3 months) | call pediatric clinic | temperature 38.0-38.9C, reduced appetite, mild irritability | fluids, light clothing, monitor temperature every 4-6 hours | same-day pediatric advice if fever lasts >24 hours | emergency if seizure, persistent vomiting, lethargy, or rash with fever
Sprained ankle (likely grade I) | self-care | swelling near ankle, pain with walking, no deformity | RICE: rest, ice 15-20 min, compression wrap, elevation | clinic visit in 48-72 hours if not improving | emergency if deformity, inability to bear weight, numb/cold foot
Seasonal allergies | self-care | sneezing, itchy eyes, clear runny nose, no fever | oral antihistamine, saline rinse, reduce pollen exposure | clinic visit if symptoms persist >2 weeks | urgent if wheeze, shortness of breath, or facial swelling
Tension headache | self-care | band-like head pressure, stress, no neurologic deficits | hydration, sleep, limit screen strain, OTC analgesic as directed | clinic if headaches occur >2 times weekly | emergency if sudden worst headache, vision loss, weakness, confusion
Viral sore throat | self-care | throat pain, mild cough, low fever, runny nose | warm fluids, honey (age >1 year), lozenges, hydration | clinic if sore throat lasts >5 days | urgent if drooling, severe unilateral pain, or trouble swallowing fluids
Mild dehydration | self-care | dry mouth, darker urine, thirst, mild dizziness | oral rehydration solution in small frequent sips | clinic if symptoms persist after 6-8 hours of rehydration | emergency if fainting, no urination >8 hours, confusion
Acute diarrhea (no blood, mild) | self-care | loose stools <6/day, abdominal cramping, no high fever | oral rehydration, bland foods, avoid high-fat meals | clinic if diarrhea lasts >3 days | urgent if blood in stool, fever >=39C, severe abdominal pain
Possible uncomplicated UTI symptoms | primary care soon | burning urination, urinary frequency, no flank pain | hydration, avoid bladder irritants | clinic within 24 hours for urinalysis and treatment | urgent if fever, flank pain, nausea/vomiting, pregnancy with symptoms
Low back strain | self-care | localized lumbar pain after lifting, no leg weakness | relative rest, heat packs, gentle mobility, OTC analgesic as directed | clinic if pain lasts >7 days | emergency if bowel/bladder loss, saddle numbness, progressive weakness
Minor skin cut (superficial) | self-care | shallow cut, controllable bleeding, no contamination | rinse with clean water, apply pressure, antibiotic ointment, cover | clinic if redness/pain worsens after 48 hours | urgent if deep wound, uncontrolled bleeding, or animal/human bite
Mild sunburn | self-care | red tender skin, warm touch, no blistering | cool compress, aloe vera, hydration, avoid further sun | clinic if pain not improving in 48 hours | urgent if extensive blisters, fever, chills, or dehydration signs
Mild asthma symptom flare (known asthma) | home action plan | mild wheeze, cough, mild chest tightness, speaking full sentences | use rescue inhaler per action plan, avoid triggers | same-day clinic if rescue inhaler needed repeatedly | emergency if severe breathlessness, cyanosis, inability to speak full sentences
Conjunctivitis (likely viral/allergic) | self-care | red itchy eyes, watery discharge, crusting on waking | hand hygiene, avoid touching eyes, artificial tears | clinic if not improved in 3 days | urgent if eye pain, photophobia, vision change, contact lens wearer with redness
Ear pain after swimming | primary care | ear fullness, tenderness when outer ear moved, mild hearing muffling | keep ear dry, avoid cotton swabs, OTC pain relief as directed | clinic in 24-48 hours for ear exam | urgent if high fever, spreading redness, or severe swelling
Migraine (known history, typical pattern) | self-care | unilateral throbbing pain, nausea, light sensitivity | rest in dark room, prescribed migraine medicine, hydration | clinic if attacks become more frequent/severe | emergency if new neurologic deficit, head injury, or atypical worst headache
Common cold | self-care | runny nose, congestion, mild cough, sore throat, low fever | fluids, rest, humidified air, symptomatic OTC care as directed | clinic if symptoms persist >10 days | urgent if shortness of breath, chest pain, persistent high fever
Chest pain with pressure and shortness of breath | emergency now | chest pressure, sweating, nausea, breathlessness | do not self-treat at home | none | call emergency services immediately
